Stock quote and option quote for AIG on 4/6/19 19:55:08

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
45.05,N,+.45,44.80,P,45.29,P,4 x 4,"4,063,949",44.70,45.30,44.66

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.84%,-4505,.32,Q,3/14/19,56.79,36.16,"869,736,490",1.08

Theo parameters
Theo date,Theo stock price,Theo volatility
4/6/19, 0.00$, 0.00%

12 APR 19  (6)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,AIG190418C41.5,0,3,39.05%,3.75,.863,.060,.019,-.026,.010,1.69,C,3.775,1.69,36,47,85.87%,14.13%,27.71%,14.03%,14.03%,3.40,M,4.15,M,18 APR 19,41.5,0,I,.08,C,AIG190418P41.5,0,129,24.84%,.03297165,-.044,.042,.008,-.008,-.001,.11,Z,.040,.11,0,59,4.24%,95.76%,8.38%,2.49%,<empty>,,
,,AIG190418C42,0,759,--,<empty>,1.000,.00,.00,.00,.00,2.83,X,2.275,2.83,61,37,100.00%,0.00%,<empty>,-48.33%,0.00%,1.05,X,3.50,N,18 APR 19,42,.08,Z,.09,X,AIG190418P42,10,"2,173",25.94%,.07322961,-.080,.065,.013,-.012,-.001,.08,Q,.085,.08,20,88,8.02%,91.98%,15.83%,5.30%,<empty>,,
,,AIG190418C42.5,1,15,24.04%,2.63,.892,.080,.016,-.013,.009,2.71,I,2.645,2.71,40,36,89.57%,10.43%,20.58%,5.92%,5.92%,2.39,M,2.90,N,18 APR 19,42.5,.08,X,.11,X,AIG190418P42.5,0,403,23.24%,.08281491,-.097,.084,.015,-.013,-.002,.14,N,.095,.14,32,83,9.64%,90.36%,19.04%,5.92%,<empty>,,
,,AIG190418C43,42,"1,843",22.77%,2.17,.854,.110,.020,-.016,.010,2.28,C,2.190,2.28,51,36,85.49%,14.51%,28.64%,8.73%,8.73%,2.13,X,2.25,X,18 APR 19,43,.11,N,.15,X,AIG190418P43,38,"4,719",21.68%,.11544195,-.133,.112,.019,-.015,-.002,.12,T,.130,.12,20,41,13.28%,86.72%,26.23%,8.11%,<empty>,,
,,AIG190418C43.5,2,"2,271",20.77%,1.72,.809,.147,.024,-.017,.011,1.67,Z,1.735,1.67,61,24,80.75%,19.25%,37.98%,11.54%,11.54%,1.69,X,1.78,X,18 APR 19,43.5,.12,M,.19,X,AIG190418P43.5,"1,033",403,19.01%,.13978566,-.170,.151,.022,-.015,-.003,.14,Q,.155,.14,44,73,17.04%,82.96%,33.67%,9.67%,<empty>,,
,,AIG190418C44,45,"3,062",19.50%,1.30,.736,.190,.029,-.019,.011,1.45,C,1.320,1.45,46,24,73.14%,26.86%,52.95%,16.84%,16.84%,1.29,X,1.35,N,18 APR 19,44,.23,N,.26,X,AIG190418P44,256,"11,694",18.24%,.2263865,-.250,.198,.028,-.018,-.004,.19,C,.245,.19,29,48,25.39%,74.61%,50.09%,15.28%,<empty>,,
,,AIG190418C44.5,15,285,18.14%,.91880236,.639,.234,.033,-.021,.010,.90,P,.940,.90,74,27,63.14%,36.86%,72.56%,24.32%,24.32%,.91,X,.97,N,18 APR 19,44.5,.34,N,.39,X,AIG190418P44.5,5,80,17.07%,.34452341,-.353,.247,.033,-.020,-.006,.50,Z,.365,.50,24,67,35.99%,64.01%,70.89%,22.76%,<empty>,,
,,AIG190418C45,"2,749","6,978",17.21%,.60340854,.517,.262,.035,-.021,.008,.64,A,.625,.64,48,22,50.46%,49.54%,97.35%,35.86%,35.86%,.60,X,.65,N,18 APR 19,45,.52,X,.58,H,AIG190418P45,562,409,16.22%,.52897283,-.482,.278,.035,-.020,-.009,.57,B,.550,.57,31,51,49.44%,50.56%,97.18%,34.30%,<empty>,,
,,AIG190418C45.5,206,12,16.60%,.36505316,.383,.261,.034,-.019,.006,.45,C,.385,.45,22,18,36.70%,63.30%,74.56%,24.01%,52.07%,.37,N,.40,N,18 APR 19,45.5,.78,N,.84,X,AIG190418P45.5,0,1,15.56%,.79073319,-.624,.276,.033,-.019,-.011,1.23,P,.810,1.23,22,56,64.07%,35.93%,72.95%,22.45%,<empty>,,
,,AIG190418C46,72,344,16.43%,.20821994,.261,.224,.029,-.016,.004,.24,P,.225,.24,18,17,24.33%,75.67%,49.32%,14.03%,73.28%,.21,N,.24,Q,18 APR 19,46,1.11,N,1.19,H,AIG190418P46,6,20,15.21%,1.13,-.755,.234,.028,-.015,-.013,1.09,C,1.150,1.09,24,68,77.31%,22.69%,45.96%,12.47%,<empty>,,
,,AIG190418C46.5,11,0,16.47%,.11251428,.165,.171,.022,-.013,.003,.14,E,.125,.14,31,22,14.87%,85.13%,30.09%,7.80%,98.23%,.11,H,.14,Q,18 APR 19,46.5,1.49,X,1.60,X,AIG190418P46.5,0,0,14.56%,1.53,-.864,.169,.019,-.010,-.016,0, ,1.545,0,46,61,87.99%,12.01%,24.28%,5.92%,<empty>,,
